,单词,释义,划分,例句
348,laugh,vi. 笑,laugh,She couldn't help but laugh at his joke. 她忍不住笑了起来。
350,lay,vt. 躺下；产卵；搁放；放置；铺放；涂，敷,lay,She will lay the book on the table. 她会把书放在桌子上.
351,lead,vt. 领导；致使；引导；指挥,lead,She will lead the team to victory. 她将带领团队取得胜利.
353,leaves,v. 离开（leave的第三人称单数）,lea-ves,She leaves the office at 5 p.m. 她下午5点离开办公室。
354,learn,vt. 学习；得知；认识到,learn,She wants to learn how to play the piano. 她想学会弹钢琴.
355,leave,vt. 离开；留下；遗忘；委托,lea-ve,She decided to leave the party early.她决定提早离开派对.
356,lend,vt. 贷；增添，提供；把……借给,lend,She agreed to lend her friend some money. 她同意借钱给她的朋友.
358,let,vt. 允许，让；出租；假设；妨碍,let,Let me help you with that. 让我来帮你。
359,letter,vt. 写字母于,let-ter,She wrote a letter to her friend yesterday. 她昨天给她的朋友写了一封信。
360,level,vi. 瞄准；拉平；变得平坦,le-vel,He leveled his rifle at the target. 他把步枪瞄准了目标.
361,lie,vi. 躺；说谎；位于；展现,lie,He lies on the couch reading a book. 他躺在沙发上看书.
362,lift,vt. 举起；提升；鼓舞；空运；抄袭,lift,She struggled to lift the heavy box. 她努力举起沉重的箱子.
363,light,vi. 点着；变亮；着火,light,She lit the candle to create a cozy atmosphere. 她点燃蜡烛营造出舒适的氛围。
364,like,vt. 喜欢；想；愿意,li-ke,She likes to read books. 她喜欢读书.
366,list,vi. 列于表上,list,She will list all the items on the table. 她会把桌子上的所有物品列出来.
367,listen,vi. 听，倾听；听从，听信,lis-ten,She likes to listen to music before bedtime. 她喜欢在睡前听音乐.
369,live,vt. 经历；度过,li-ve,I live a happy life with my family. 我与家人过着幸福的生活。
373,lose,vt. 浪费；使沉溺于；使迷路；遗失；错过,lo-se,He tends to lose his keys easily. 他经常容易把钥匙弄丢。
375,love,v. 爱，热爱；爱戴；赞美，称赞；喜爱；喜好；喜欢；爱慕,lo-ve,She loves to read books every night. 她喜欢每晚读书.
380,make,vt. 使得；进行；布置，准备，整理；制造；认为；获得；形成；安排；引起；构成,ma-ke,He can make a cake with his mother. 他可以和他妈妈一起做蛋糕。
382,manage,vt. 管理；经营；控制；设法,ma-na-ge,"She can manage her time effectively, balancing work and play. 她能有效地安排时间，平衡工作和娱乐。"
384,mark,vi. 作记号,mark,He marked the page with a highlighter. 他用荧光笔在页面上做了记号.
386,marry,vt. 嫁；娶；与……结婚,mar-ry,They marry next month. 他们下个月结婚。
387,match,vt. 使比赛；使相配；敌得过，比得上；相配；与…竞争,match,He tried to match the colors of his socks with his shirt. 他尝试将袜子的颜色与衬衫搭配起来.
390,mean,vt. 意味；想要；意欲,mean,She didn't mean to hurt your feelings. 她并不是故意伤害你的感情.
393,meet,vt. 满足；遇见；对付,meet,She will meet her friends at the park tomorrow. 她明天将在公园与朋友们见面。
395,mention,vt. 提到，谈到；提及，论及；说起,men-tion,She didn't mention the party to me. 她没有跟我提起聚会。
396,mess,vt. 弄乱，弄脏；毁坏；使就餐,mess,She always makes a mess in her room and then complains about it. 她总是把自己的房间弄得乱七八糟，然后又抱怨起来。
397,message,vi. 报信，报告；[通信] 报文,mes-sa-ge,He sent a message to his friend about the upcoming party. 他给他的朋友发了一条关于即将举办的聚会的消息.
399,might,v. 可以；或许（may的过去式）；应该,might,She might arrive late to the party. 她可能会晚到派对。
401,mind,vt. 介意；专心于；照料,mind,I don't mind waiting for a few minutes.  我不介意等几分钟。
402,mine,vt. 开采，采掘；在…布雷,mi-ne,The miners will mine for gold. 矿工们将开采黄金.
405,miss,vt. 错过，想念，缺（勤）,miss,She always misses the bus in the morning. 她每天早上总是赶不上公交车。
408,mix,vt. 配制；混淆；使混和；使结交,mix,She likes to mix different colors to create beautiful paintings. 她喜欢混合不同的颜色来创作漂亮的画作。
409,model,vt. 模拟；塑造；模仿,mo-del,She likes to model for fashion magazines. 她喜欢为时尚杂志拍模特照片.
416,move,vi. 移动；搬家，迁移；离开,mo-ve,She likes to move to the rhythm of the music. 她喜欢跟着音乐的节奏移动。
417,name,vt. 命名，任命；指定；称呼；提名；叫出,na-me,I name my pet dog Max. 我给我的宠物狗起名叫Max.
419,need,vt. 需要,need,She needs help with her homework. 她需要帮助做作业。
423,noise,vt. 谣传,noi-se,The neighbors complain about the noise from the construction site. 邻居们抱怨建筑工地的噪音。
424,nose,vt. 嗅；用鼻子触,no-se,He can nose out the ripest fruits at the market. 他可以在市场上嗅出最熟的水果。
425,note,vt. 注意；记录；注解,no-te,She noted down the important points during the meeting. 她在会议上记录下了重要的要点.
426,notice,vt. 通知；注意到；留心,no-ti-ce,I notice a bird singing outside my window. 我注意到窗外有只鸟在唱歌。
427,number,vi. 计入；总数达到,num-ber,He carefully counted the number of books on the shelf. 他仔细地数了数书架上的书。
428,nurse,vt. 看护，护理；照顾；培养；给…喂奶,nur-se,She decided to nurse the injured bird back to health. 她决定护理那只受伤的小鸟。
430,offer,vt. 提供；出价；试图,of-fer,She will offer her help to anyone in need. 她会向任何需要帮助的人提供帮助。
434,open,vi. 开始；展现,o-pen,He opens the door with a key. 他用钥匙打开门。
435,order,vt. 命令；整理；定购,or-der,He placed an order for a new book online. 他在网上订购了一本新书。
438,own,vt. 拥有；承认,own,I own a lovely cat named Whiskers. 我拥有一只可爱的猫，名字叫Whiskers.
441,paint,vt. 油漆；绘画；装饰；涂色于；描绘；（用语言，文字等）描写；擦脂粉等,paint,She likes to paint colorful pictures. 她喜欢画彩色的图片.
442,pair,vt. 把…组成一对,pair,She likes to pair her favorite socks. 她喜欢把她最喜欢的袜子搭配在一起.
447,park,vt. 停放；放置；寄存,park,She parked her car in the garage. 她把车停在车库里.
450,pass,vt. 通过；经过；传递,pass,He tried to pass the ball to his teammate. 他试图把球传给他的队友.
451,pay,vt. 支付，付；偿还，补偿；给予,pay,He will pay for the groceries at the checkout. 他将在结账时付款购买杂货。
459,pick,vi. 挑选；采摘；挖,pick,He likes to pick fresh fruits from the garden. 他喜欢从花园里采摘新鲜的水果.
470,plan,vt. 计划；设计；打算,plan,She plans to travel to Europe next summer. 她打算下个夏天去欧洲旅行。
472,plant,vt. 种植；培养；栽培；安置,plant,She loves to plant flowers in her garden. 她喜欢在花园里种花。
473,play,vt. 游戏；扮演；演奏；播放；同…比赛,play,She likes to play video games after school. 她喜欢放学后玩电子游戏.
477,point,vt. 指向；弄尖；加标点于,point,She pointed to the sky. 她指着天空.
479,pollute,vt. 污染；玷污；败坏,pol-lu-te,The factories pollute the river with their waste. 工厂用废料污染了河流。
481,post,vt. 张贴；公布；邮递；布置,post,She will post the notice on the bulletin board. 她将在布告板上张贴通知。
483,practice,vt. 练习；实习；实行,prac-ti-ce,She practices playing the piano every day. 她每天练习弹钢琴。
485,prepare,vt. 准备；使适合；装备；起草,pre-pa-re,She needs time to prepare for the exam. 她需要时间准备考试.
486,present,vt. 提出；介绍；呈现；赠送,pre-sent,She will present her project at the meeting. 她将在会议上展示她的项目.
489,print,vt. 印刷；打印；刊载；用印刷体写；在…印花样,print,He needs to print out the document before the meeting. 他需要在会议前打印出这份文件。
491,produce,vt. 生产；引起；创作；生育，繁殖,pro-du-ce,She produces beautiful paintings in her studio. 她在工作室里创作出美丽的画作。
496,promise,vt. 允诺，许诺；给人以…的指望或希望,pro-mi-se,She promised to help me with my homework tonight. 她答应今晚帮我做作业。
498,protect,vt. 保护，防卫；警戒,pro-tect,She wears a helmet to protect her head while riding a bike. 她骑自行车时戴头盔保护头部。
499,provide,vt. 提供；规定；准备；装备,pro-vi-de,The school cafeteria provides nutritious meals for students. 学校食堂为学生提供营养丰富的餐食.
500,pull,vt. 拉；拔；拖,pull,She pulled the rope with all her strength. 她用尽全力拉着绳子。
501,punish,vt. 惩罚；严厉对待；贪婪地吃喝,pu-nish,He punished his son for disobeying the rules. 他因为违反规定惩罚了他的儿子。
503,purpose,vt. 决心；企图；打算,pur-po-se,She purposefully practiced the piano every day. 她每天都刻意地练习钢琴.
504,push,vi. 推进；增加；努力争取,push,He pushed the door open with all his strength. 他用尽全力推开了门。
505,put,vi. 出发；击；航行；发芽,put,He put on his coat and left the house. 他穿上外套离开了房子。
508,question,vt. 询问；怀疑；审问,ques-tion,He didn't question her decision. 他没有质疑她的决定。
514,rain,vt. 大量地给；使大量落下,rain,The farmer uses irrigation to rain water onto his crops. 农民使用灌溉系统给作物降雨水.
515,raise,vt. 提高；筹集；养育；升起,rai-se,She wants to raise money for charity. 她想为慈善筹款。
516,reach,vi. 达到；延伸；伸出手；传开,reach,She stretched her arm to reach the cookie jar on the top shelf. 她伸出手臂去够顶层的饼干罐。
517,read,vi. 读；读起来,read,She loves to read novels in her free time. 她喜欢在空闲时间读小说。
520,realize,vt. 实现；认识到；了解；将某物卖得，把(证券等)变成现钱；变卖,rea-li-ze,She didn't realize her mistake until it was too late. 她直到为时已晚才意识到了她的错误。
522,receive,vt. 收到；接待；接纳,re-cei-ve,She will receive a gift on her birthday. 她将在生日收到一份礼物.
523,record,vt. 记录，记载；标明；将...录音,re-cord,She used a pen to record her thoughts in the notebook. 她用钢笔记录她的想法在笔记本上.
524,refuse,vi. 拒绝,re-fu-se,She will refuse to eat vegetables. 她会拒绝吃蔬菜.
525,regret,vi. 感到后悔；感到抱歉,reg-ret,I regret not studying harder for the exam. 我后悔没有更努力地学习准备考试。
526,relax,vi. 放松，休息；松懈，松弛；变从容；休养,re-lax,I need to relax after a busy day at work.  我需要在工作一天后放松一下。
527,remain,vi. 保持；依然；留下；剩余；逗留；残存,re-main,She decided to remain at home instead of going out with her friends. 她决定留在家里，而不是和朋友们出去。
528,remember,vi. 记得，记起,re-mem-ber,She always remembers to feed her cat. 她总是记得给她的猫喂食.
529,repair,vt. 修理；恢复；补救，纠正,re-pair,He will repair the broken chair. 他会修理那把坏掉的椅子。
530,repeat,vi. 重做；重复发生,re-peat,"She didn't understand the instructions, so she asked the teacher to repeat them. 她没听懂说明, 所以她让老师重复一遍."
531,reply,vt. 回答；答复,rep-ly,He didn't reply to my message. 他没有回复我的消息。
532,report,vt. 报告；报导；使报到,re-port,She needs to report her findings to the manager. 她需要向经理报告她的发现。
533,require,vt. 需要；要求；命令,re-qui-re,Schools often require students to wear uniforms. 学校通常要求学生穿校服。
534,research,vt. 研究；调查,re-search,She researched the topic thoroughly before writing her paper. 她在写论文之前彻底研究了这个话题.
535,rest,vt. 使休息，使轻松；把…寄托于,rest,She decided to rest after a long day of work. 她决定在一天的工作之后休息一下。
536,result,vi. 结果；导致；产生,re-sult,His hard work will result in success. 他的努力将会取得成功。
537,return,vi. 返回；报答,re-turn,She will return home after school. 她放学后会回家。
538,review,vt. 回顾；检查；复审,re-view,I'll review my notes before the exam. 我会在考试前复习我的笔记。
540,ride,vi. 骑马；乘车；依靠；漂浮,ri-de,She likes to ride her bike to school every day. 她喜欢每天骑自行车上学。
543,rise,vt. 使…飞起；使…浮上水面,ri-se,The sun's warmth helps rise the balloons into the sky. 太阳的温暖帮助气球升上天空。
545,road,vt. （狗）沿臭迹追逐（猎物）,road,The dog was trained to road the rabbit. 狗被训练成沿着兔子的臭迹追逐。
552,rule,vt. 统治；规定；管理；裁决；支配,ru-le,He always follows the rule of being kind to others. 他总是遵循着对他人友善的规则。
553,run,vt. 管理，经营；运行；参赛,run,She runs a small business from home. 她在家经营一家小生意.
558,satisfy,vi. 令人满意；令人满足,sa-tis-fy,She ate the delicious cake to satisfy her sweet tooth. 她吃下了美味的蛋糕以满足她的甜食欲。
559,save,vi. 节省；挽救,sa-ve,He tries to save money by cutting unnecessary expenses. 他通过削减不必要的开支来节省钱。
560,say,vt. 讲；说明；例如；声称；假设；指明,say,He didn't say a word during the meeting. 他在会议中一言未发。
566,search,vt. 搜索；搜寻；调查；搜查；探求,search,He searched the entire house for his lost keys. 他在整个房子里搜寻他丢失的钥匙。
570,see,vi. 看；看见；领会,see,I see a bird in the sky. 我看见天空中的一只鸟。
571,seem,vi. 似乎；像是；装作,seem,She didn't seem interested in the conversation. 她似乎对这个对话不感兴趣。
572,sell,vt. 销售；推销；出卖；欺骗,sell,He decided to sell his old bike to buy a new one. 他决定卖掉他的旧自行车买一辆新的。
573,send,vi. 派人；寄信,send,I'll send you the file by email. 我会通过邮件把文件发给你.
574,sense,vt. 感觉到；检测,sen-se,He could sense danger lurking in the shadows. 他能感觉到危险潜伏在阴影中。
575,sentence,vt. 判决，宣判,sen-ten-ce,She received a harsh sentence for her actions. 她因为她的行为受到了严厉的判决.
576,separate,vt. 使分离；使分开；使分居,se-pa-ra-te,They use a curtain to separate the living room from the dining area. 他们用窗帘将客厅和餐厅分开。
577,serve,vi. 服役，服务；适合，足够；发球；招待，侍候,ser-ve,He decided to serve in the military after graduation. 他决定毕业后从军服役。
579,set,"vi. (日,月)落沉；凝固；结果",set,The sun sets in the west. 太阳在西方落下。
580,shake,vt. 动摇；摇动；震动；握手,sha-ke,She tried to shake the sand out of her shoes. 她试图把鞋子里的沙子甩出来。
583,share,vt. 分享，分担；分配,sha-re,She likes to share her toys with her friends. 她喜欢和朋友分享她的玩具.
584,shine,vt. 照射，擦亮；把…的光投向；（口）通过擦拭使…变得有光泽或光,shi-ne,The sun will shine brightly in the sky tomorrow. 明天太阳将在天空中明亮照耀。
585,ship,vt. 运送，乘船；以船运送,ship,He will ship the package tomorrow. 他明天将运送包裹.
587,shop,vt. 购物,shop,She likes to shop for clothes on weekends. 她喜欢在周末购买衣服.
589,shout,vi. 呼喊；喊叫；大声说,shout,He heard someone shout in the distance. 他听到远处有人大喊大叫。
590,show,vt. 显示；说明；演出；展出,show,He will show us how to solve the math problem. 他会向我们展示如何解决这道数学问题。
593,shy,vi. 投；畏缩；惊退；厌恶,shy,She felt too shy to speak up in front of the class. 她感到太害羞，在班上不敢开口。
594,sick,vt. 使狗去咬；呕吐；追击,sick,The dog got sick after eating something from the garbage. 狗吃了垃圾后生病了。
595,side,vt. 同意，支持,si-de,I side with her decision to pursue her passion for art. 我支持她追求艺术的决定.
596,sign,vt. 签署；示意,sign,She will sign the contract tomorrow. 她明天将签署合同.
600,sing,vt. 唱；用诗赞颂；唱着使,sing,She loves to sing in the choir every Sunday. 她每个星期日都喜欢在唱诗班唱歌.
602,sit,vi. 坐；位于,sit,She likes to sit by the window and read. 她喜欢坐在窗边看书.
606,sky,vt. 把…投向空中；把…挂得过高,sky,She sky the ball over the net. 她把球打向网上方.
607,sleep,vi. 睡，睡觉,sleep,He likes to sleep late on weekends. 他喜欢周末晚睡觉。
608,slow,vt. 放慢；阻碍,slow,He tried to slow down the car on the slippery road. 他试图在湿滑的路上减速汽车。
609,smell,vt. 嗅，闻；察觉到；发出…的气味,smell,He could smell the delicious aroma of freshly baked bread. 他能闻到新鲜烤面包的香气。
610,smile,vt. 微笑着表示,smi-le,She couldn't help but smile when she saw the cute puppy. 她看到那只可爱的小狗时忍不住微笑。
611,smoke,vt. 吸烟；抽,smo-ke,He used to smoke cigarettes but quit last year. 他过去抽烟，但去年戒了。
614,snow,vt. 使纷纷落下；使变白,snow,The snow fell softly outside the window. 雪花在窗外轻轻飘落。
616,solve,vt. 解决；解答；溶解,sol-ve,She can solve the puzzle quickly. 她可以很快解开这个谜题.
617,sound,vt. 听（诊）；测量，测…深；使发声；试探；宣告,sound,He used a stethoscope to sound her chest. 他用听诊器听她的胸腔.
621,speak,vi. 说话；演讲；表明；陈述,speak,She doesn't speak much in class. 她在课堂上不怎么说话.
624,spend,vt. 度过，消磨（时光）；花费；浪费；用尽,spend,I spend my weekends exploring new places. 我周末花时间探索新地方。
628,spread,vt. 传播，散布；展开；伸展；铺开,spread,The news spread quickly through the small town. 新闻迅速传播到小镇上。
631,stamp,vt. 用脚踩踏; 盖章于…；贴邮票于…；,stamp,He stamped his passport before boarding the plane. 他在登机前盖了护照章。
632,stand,vi. 站立；位于；停滞,stand,"She stood by the window, gazing at the sunset. 她站在窗边，凝视着日落。"
633,star,vt. 用星号标于；由…主演，由…担任主角,star,He starred in the new movie. 他在新电影中担任主角.
634,start,vt. 开始；启动,start,She will start her new job next Monday. 她将于下周一开始她的新工作。
635,state,vt. 规定；声明；陈述,sta-te,She needs to clearly state her opinion during the meeting.她需要在会议上明确陈述她的观点.
637,stay,vi. 停留；坚持；暂住；停下,stay,She decided to stay at home and relax for the evening. 她决定留在家里放松一晚上.
638,steal,vt. 剽窃；偷偷地做；偷窃,steal,She tried to steal the cookies from the jar when no one was looking. 她趁没人注意的时候试图偷饼干罐里的饼干.
639,step,vt. 走，迈步,step,He took a step forward. 他向前迈出一步。
640,stick,vi. 坚持；伸出；粘住,stick,He can stick to his decision despite criticism. 他能坚持自己的决定，尽管受到批评。
644,stop,vi. 停止；中止；逗留；被塞住,stop,He stopped to catch his breath. 他停下来喘口气。
645,store,vt. 贮藏，储存,sto-re,She likes to store her old clothes in the attic. 她喜欢把旧衣服存放在阁楼里。
648,study,vt. 学习；考虑；攻读；细察,stu-dy,She likes to study in the library every evening. 她喜欢每天晚上在图书馆学习。
649,subject,vt. 使…隶属；使屈从于…,sub-ject,The teacher will subject the students to a surprise quiz tomorrow. 明天老师将让学生们应考一个突发测验。
650,succeed,vi. 成功；继承；继任；兴旺,suc-ceed,She worked hard and managed to succeed in her exams. 她努力学习，成功通过了考试。
652,suggest,vt. 提议，建议；启发；使人想起；显示；暗示,sug-gest,"She didn't directly suggest a solution, but her hints were clear. 她没有直接提出解决方案，但她的暗示很明显。"
655,support,vt. 支持，支撑，支援；扶持，帮助；赡养，供养,sup-port,He supports his friend through difficult times. 他在朋友困难时期支持他。
656,suppose,vt. 假设；认为；让（虚拟语气）；推想,sup-po-se,I suppose the weather will be sunny tomorrow. 我假设明天天气会晴朗。
660,swim,vi. 游泳；漂浮；浸；眩晕,swim,She loves to swim in the ocean during the summer. 她喜欢在夏天在海里游泳。
664,take,vi. 拿；获得,ta-ke,He will take the book from the shelf. 他将从书架上拿走这本书。
665,talk,vi. 谈话；说闲话,talk,She loves to talk with her friends after school. 她喜欢放学后和朋友们聊天.
668,taste,vt. 尝；体验,tas-te,The soup tastes delicious. 这碗汤尝起来很美味。
671,teach,vt. 教；教授；教导,teach,She loves to teach her students new things every day. 她喜欢每天教她的学生新知识。
674,tell,vt. 告诉，说；辨别；吩咐；断定,tell,He didn't tell anyone about his secret. 他没有告诉任何人他的秘密。
676,test,vt. 试验；测试,test,She will test the new recipe tonight. 她今晚会试验这个新食谱。
678,thank,vt. 感谢,thank,I want to thank you for your help. 我想感谢你的帮助。
680,think,vi. 想；认为,think,She thinks the movie is boring. 她认为这部电影很无聊。
681,thought,v. 想，思考；认为（think的过去式和过去分词）,thought,He thought about the problem all night. 他整夜思考这个问题。
682,throw,vt. 投；抛；掷,throw,He likes to throw the ball to his dog. 他喜欢把球扔给他的狗.
693,touch,vt. 接触；触动；使轻度受害,touch,She reached out to touch the soft petals of the flower. 她伸手去触摸花朵柔软的花瓣。
698,trade,vt. 用…进行交换,tra-de,She traded her toy for a candy. 她用她的玩具换了一颗糖.
700,train,v. 培养；训练；瞄准,train,She trains her dog to sit and stay. 她训练她的狗坐下并保持安静.
702,translate,vt. 翻译；转化；解释；转变为；调动,trans-la-te,She can translate the document from Spanish to English. 她可以将文件从西班牙语翻译成英语。
703,travel,vt. 经过；在…旅行,tra-vel,She loves to travel to exotic places during her vacations. 她喜欢在假期去异国他乡旅行。
705,treat,vi. 探讨；请客；协商,treat,She decided to treat her friends to ice cream after the movie.她决定在电影结束后请她的朋友吃冰淇淋.
711,trust,vt. 信任，信赖；盼望；赊卖给,trust,I trust my best friend with all my secrets. 我对我的好朋友完全信任，不保留任何秘密。
712,try,vt. 试图，努力；试验；审判；考验,try,She will try her best to finish the project on time. 她会尽力按时完成这个项目.
713,turn,vi. 转向；转变；转动,turn,He decided to turn left at the intersection. 他决定在十字路口左转。
714,understand,vi. 理解；懂得；熟悉,un-ders-tand,She couldn't understand the instructions. 她无法理解那些说明。
716,use,vt. 利用；耗费,u-se,She knows how to use a computer effectively. 她知道如何有效地使用电脑.
717,used,v. 用（use的过去式）；（used to）过去常做,u-sed,She used her creativity to solve the problem.她运用创造力解决问题.
719,value,vt. 评价；重视；估价,va-lue,She values honesty in her friendships. 她在友谊中看重诚实。
720,video,v. 录制,vi-deo,She likes to video her cat playing. 她喜欢录制她的猫玩耍。
721,visit,vt. 访问；参观；视察,vi-sit,She will visit her grandmother in the hospital tomorrow. 她明天会去医院看奶奶。
723,wait,vi. 等待；耽搁；伺候用餐,wait,I can't wait for the weekend to relax. 等不及周末放松了。
724,wake,vt. 叫醒；激发,wa-ke,She used an alarm clock to wake up early. 她用闹钟早起。
725,walk,vi. 走，步行；散步,walk,He likes to walk in the park every morning. 他喜欢每天早晨在公园里散步.
727,want,vt. 需要；希望；应该；缺少,want,I want a new book for my birthday. 我希望在我的生日时能得到一本新书。
730,warn,vt. 警告，提醒；通知,warn,She warned her friend about the icy sidewalks. 她提醒她的朋友注意结冰的人行道。
731,wash,vt. 洗涤；洗刷；冲走；拍打,wash,She washes her hands before every meal. 她每顿饭前都洗手。
732,waste,vt. 浪费；消耗；使荒芜,was-te,He wasted his time playing video games. 他浪费了时间玩电子游戏.
733,watch,vt. 观察；注视；看守；警戒,watch,He likes to watch birds in the park. 他喜欢在公园里观察鸟类。
734,water,vt. 使湿；供以水；给…浇水,wa-ter,She watered the plants in the garden. 她给花园里的植物浇水。
735,wear,v. 穿着；用旧；耗损；面露,wear,She wears a beautiful dress to the party. 她穿着一件漂亮的裙子去参加派对.
740,welcome,vt. 欢迎,wel-co-me,Everyone gathered to welcome the new student. 欢迎新同学的到来.
745,win,vt. 赢得；在…中获胜；劝诱,win,She always strives to win every competition. 她总是努力赢得每一场比赛.
750,wish,vt. 祝愿；渴望；向…致问候语,wish,I wish to visit Paris next summer. 我希望明年夏天去巴黎。
751,wonder,vi. 怀疑；想知道；惊讶,won-der,I wonder what the weather will be like tomorrow. 我想知道明天的天气会怎样。
754,work,vt. 使工作；操作；经营；使缓慢前进,work,He works hard to support his family. 他努力工作来养家。
755,worry,vi. 担心；烦恼；撕咬,wor-ry,She worries about her upcoming exam. 她担心她即将到来的考试。
758,write,vi. 写，写字；写作，作曲；写信,wri-te,She loves to write stories in her free time. 她喜欢在空闲时间写故事。
